date;acc_def;acc_nondef;quit_prop;wait;rect;all_neg;quit_nonprop
2018-05-23;40090;395111;1023;344619;1928;27809;1478
2018-05-24;82377;373128;2871;320141;3365;26274;3902
2018-05-25;101889;367723;3895;304135;3978;25606;4832
2018-05-26;118077;363232;4714;291121;4347;25762;4804
2018-05-27;137727;357028;5849;276160;4513;25580;5199
2018-05-28;167294;351220;7748;250062;4701;25368;5663
2018-05-29;200114;337107;14053;224304;5081;24945;6451
2018-05-30;216530;329920;14828;213984;5306;24706;6781
2018-05-31;227410;326362;15550;205739;5468;24537;6989
2018-06-01;236656;322873;16302;198878;5651;24290;7404
2018-06-02;244898;320275;16998;191974;5776;24628;7505
2018-06-03;254592;310840;23863;184725;6284;24076;7674
2018-06-04;265652;305934;25270;177032;6519;23815;7832
2018-06-05;276945;299814;26651;170299;6830;23490;8025
2018-06-06;284904;295577;27430;165612;6994;23297;8239
2018-06-07;291935;291372;28429;161611;7124;23145;8437
2018-06-08;298432;287046;29695;158011;7219;22997;8653
2018-06-09;304721;282479;31379;154467;7263;22894;8850
2018-06-10;311792;276765;33290;151092;7307;22836;8971
2018-06-11;318340;272432;34521;147549;7356;22775;9080
2018-06-12;324026;268333;35426;144912;7432;22661;9263
2018-06-13;328778;265526;36222;142075;7496;22572;9384
2018-06-14;333266;262357;37168;139705;7538;22482;9537
2018-06-15;337659;258888;38183;137661;7554;22425;9683
2018-06-16;341350;255942;39150;135961;7468;22386;9796
2018-06-17;343768;254306;39413;134950;7369;22356;9891
